Employee_ID,Risk_Score,Should_Target,Primary_Concern,Outreach_Category,Issue_Count,Issues,Avg_Vibe_Score,Recent_Vibe_Trend,Low_Mood_Flag,Negative_Trend_Flag,Avg_Work_Hours,Max_Work_Hours,Overworked_Flag,Total_Leave_Days,Insufficient_Leave_Flag,Performance_Rating,Has_Improvement_Feedback,Performance_Concern_Flag,Reward_Points,Award_Count,Recognition_Concern_Flag,Joining_Date,Mentor_Assigned,Initial_Training_Completed,Onboarding_Concern_Flag
EMP0133,8,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,4,"Low mood: Average vibe score is below neutral; Needs break: Low leave utilization; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",2.0,0.0,True,False,7.06,7.06,False,2.0,True,2.0,False,True,393.0,1.0,False,2023-10-18,False,True,True
EMP0269,8,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,4,"Low mood: Average vibe score is below neutral; Overworked: High average working hours; Needs break: Low leave utilization; Onboarding concerns: Issues with training, mentorship, or feedback",1.0,0.0,True,False,9.55,9.55,True,4.0,True,,,False,354.0,2.0,False,2023-07-02,False,True,True
EMP0467,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Overworked: High average working hours; Onboarding concerns: Issues with training, mentorship, or feedback",2.0,0.0,True,False,9.58,9.58,True,,False,3.0,False,False,666.0,2.0,False,2024-02-15,False,True,True
EMP0466,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",2.0,0.0,True,False,6.050000000000001,7.74,False,,False,1.0,False,True,,,False,2024-04-11,False,False,True
EMP0472,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",2.0,0.0,True,False,8.5,9.68,False,11.0,False,1.0,False,True,,,False,2023-12-18,False,True,True
EMP0018,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",1.0,0.0,True,False,,,False,,False,1.0,False,True,502.0,2.0,False,2023-02-13,False,False,True
EMP0043,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",2.5,0.0,True,False,6.765000000000001,9.24,False,,False,2.0,False,True,144.0,1.0,False,2023-02-14,True,False,True
EMP0377,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",2.0,0.0,True,False,6.6,6.9,False,14.0,False,3.0,True,True,140.0,1.0,False,2023-06-20,False,False,True
EMP0156,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",1.0,0.0,True,False,,,False,,False,1.0,True,True,1166.0,4.0,False,2023-06-18,False,True,True
EMP0136,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",1.0,0.0,True,False,4.98,4.98,False,6.0,False,3.0,True,True,359.0,1.0,False,2023-10-08,False,False,True
EMP0329,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",1.0,0.0,True,False,,,False,,False,2.0,False,True,,,False,2024-05-03,True,False,True
EMP0302,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,Low mood: Average vibe score is below neutral; Overworked: High average working hours; Performance concerns: Low rating or improvement needed,1.0,0.0,True,False,9.1,9.1,True,,False,1.0,False,True,322.0,1.0,False,,,,False
EMP0320,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",2.25,0.4166666666666665,True,False,,,False,,False,2.0,False,True,16.0,1.0,False,2023-02-02,False,True,True
EMP0122,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",1.0,0.0,True,False,6.09,9.03,False,,False,1.0,False,True,149.0,1.0,False,2023-09-25,True,False,True
EMP0391,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",2.5,0.0,True,False,,,False,,False,2.0,False,True,489.0,2.0,False,2024-02-23,False,False,True
EMP0393,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",2.6666666666666665,0.0,True,False,,,False,13.0,False,1.0,False,True,,,False,2024-03-18,False,True,True
EMP0360,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",1.0,0.0,True,False,,,False,8.0,False,1.0,False,True,351.0,1.0,False,2023-06-09,True,False,True
EMP0112,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",1.0,0.0,True,False,8.276666666666667,9.5,False,,False,1.0,False,True,381.0,2.0,False,2024-05-11,True,False,True
EMP0403,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",2.0,0.0,True,False,7.63,7.63,False,27.0,False,2.0,True,True,215.0,2.0,False,2024-01-07,False,False,True
EMP0071,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",2.5,0.0,True,False,6.115,7.46,False,11.0,False,2.0,False,True,42.0,1.0,False,2023-07-01,False,True,True
EMP0047,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",1.0,0.0,True,False,,,False,18.0,False,2.0,False,True,,,False,2023-04-10,True,False,True
EMP0452,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",1.0,0.0,True,False,,,False,22.0,False,1.0,False,True,394.0,1.0,False,2023-01-23,False,False,True
EMP0383,7,True,Overworked: High average working hours,workload,4,"Overworked: High average working hours; Needs break: Low leave utilization; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",,,False,False,9.71,9.71,True,2.0,True,4.0,True,True,882.0,3.0,False,2023-02-23,False,False,True
EMP0250,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,Low mood: Average vibe score is below neutral; Overworked: High average working hours; Performance concerns: Low rating or improvement needed,1.0,0.0,True,False,9.43,9.43,True,,False,3.0,True,True,,,False,,,,False
EMP0013,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",2.0,0.0,True,False,4.0,4.0,False,,False,1.0,True,True,,,False,2023-10-10,False,False,True
EMP0188,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",2.6666666666666665,0.3333333333333335,True,False,,,False,13.0,False,2.0,True,True,,,False,2023-08-25,False,True,True
EMP0190,6,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Needs break: Low leave utilization; Onboarding concerns: Issues with training, mentorship, or feedback",2.3333333333333335,0.0,True,False,8.315000000000001,9.14,False,1.0,True,3.0,False,False,,,False,2023-10-23,False,True,True
EMP0438,6,True,Declining mood: Recent vibe scores are lower than average,emotional_wellbeing,3,"Declining mood: Recent vibe scores are lower than average; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",3.0,-0.6666666666666665,False,True,8.45,8.45,False,22.0,False,1.0,False,True,,,False,2023-12-01,False,True,True
EMP0458,6,True,Overworked: High average working hours,workload,3,"Overworked: High average working hours; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",3.0,0.0,False,False,9.445,9.81,True,14.0,False,1.0,False,True,521.0,2.0,False,2023-05-28,True,False,True
EMP0412,6,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,Low mood: Average vibe score is below neutral; Needs break: Low leave utilization; Performance concerns: Low rating or improvement needed,2.0,0.0,True,False,8.15,8.15,False,1.0,True,1.0,True,True,,,False,,,,False
EMP0232,6,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,Low mood: Average vibe score is below neutral; Needs break: Low leave utilization; Performance concerns: Low rating or improvement needed,1.0,0.0,True,False,,,False,3.0,True,1.0,False,True,217.0,1.0,False,2023-11-22,True,True,False
EMP0012,6,True,Overworked: High average working hours,workload,3,"Overworked: High average working hours; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",5.0,0.0,False,False,9.24,9.24,True,10.0,False,1.0,True,True,251.0,1.0,False,2023-09-22,True,False,True
EMP0488,6,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Needs break: Low leave utilization; Onboarding concerns: Issues with training, mentorship, or feedback",1.0,0.0,True,False,,,False,4.0,True,,,False,798.0,5.0,False,2023-09-29,False,False,True
EMP0014,6,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,"Low mood: Average vibe score is below neutral; Needs break: Low leave utilization; Onboarding concerns: Issues with training, mentorship, or feedback",2.0,0.0,True,False,6.66,9.59,False,4.0,True,,,False,,,False,2023-01-20,False,True,True
EMP0267,6,True,Overworked: High average working hours,workload,3,"Overworked: High average working hours; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",,,False,False,9.31,9.31,True,15.0,False,3.0,True,True,123.0,2.0,False,2024-04-16,True,False,True
EMP0296,6,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,Low mood: Average vibe score is below neutral; Needs break: Low leave utilization; Performance concerns: Low rating or improvement needed,2.5,0.0,True,False,8.78,8.78,False,4.0,True,2.0,False,True,,,False,2024-03-20,True,True,False
EMP0077,6,True,Overworked: High average working hours,workload,3,"Overworked: High average working hours; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",,,False,False,9.469999999999999,9.94,True,,False,2.0,False,True,183.0,1.0,False,2023-05-29,False,True,True
EMP0401,6,True,Overworked: High average working hours,workload,3,"Overworked: High average working hours; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",,,False,False,9.24,9.24,True,7.0,False,3.0,True,True,,,False,2023-06-03,False,True,True
EMP0094,5,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,2,Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed,2.0,0.0,True,False,7.306666666666666,8.58,False,,False,1.0,False,True,593.0,2.0,False,,,,False
EMP0125,5,True,Needs break: Low leave utilization,performance,3,"Needs break: Low leave utilization; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",4.5,0.0,False,False,7.8149999999999995,8.68,False,2.0,True,3.0,True,True,,,False,2023-01-01,False,True,True
EMP0111,5,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,2,"Low mood: Average vibe score is below neutral; Onboarding concerns: Issues with training, mentorship, or feedback",1.5,0.0,True,False,6.84,8.21,False,9.0,False,,,False,,,False,2024-01-02,False,True,True
EMP0351,5,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,2,Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed,2.5,0.0,True,False,,,False,,False,1.0,False,True,74.0,1.0,False,,,,False
EMP0461,5,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,2,Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed,2.0,0.0,True,False,4.16,4.16,False,21.0,False,2.0,False,True,435.0,2.0,False,,,,False
EMP0455,5,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,2,"Low mood: Average vibe score is below neutral; Onboarding concerns: Issues with training, mentorship, or feedback",2.6666666666666665,0.0,True,False,,,False,,False,3.0,False,False,442.0,3.0,False,2024-02-16,False,True,True
EMP0019,5,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,2,Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed,2.6666666666666665,0.0,True,False,7.25,7.25,False,,False,2.0,False,True,184.0,1.0,False,,,,False
EMP0417,5,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,2,"Low mood: Average vibe score is below neutral; Onboarding concerns: Issues with training, mentorship, or feedback",2.0,0.0,True,False,,,False,12.0,False,,,False,,,False,2023-01-25,False,False,True
EMP0413,5,True,Needs break: Low leave utilization,performance,3,"Needs break: Low leave utilization; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",5.0,0.0,False,False,,,False,4.0,True,2.0,False,True,575.0,2.0,False,2024-01-31,False,False,True
EMP0059,5,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,2,Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed,2.0,0.0,True,False,,,False,,False,2.0,True,True,84.0,1.0,False,2023-10-13,True,True,False
EMP0056,5,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,2,Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed,1.0,0.0,True,False,5.06,5.06,False,17.0,False,4.0,True,True,249.0,1.0,False,2024-02-18,True,True,False
EMP0473,5,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,2,"Low mood: Average vibe score is below neutral; Onboarding concerns: Issues with training, mentorship, or feedback",1.0,0.0,True,False,7.65,7.65,False,17.0,False,3.0,False,False,,,False,2024-02-09,False,False,True
EMP0465,5,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,2,"Low mood: Average vibe score is below neutral; Onboarding concerns: Issues with training, mentorship, or feedback",2.0,0.0,True,False,,,False,8.0,False,,,False,125.0,1.0,False,2023-07-21,True,False,True
EMP0031,5,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,2,"Low mood: Average vibe score is below neutral; Onboarding concerns: Issues with training, mentorship, or feedback",1.0,0.0,True,False,5.88,5.88,False,,False,,,False,289.0,1.0,False,2023-08-15,False,True,True
EMP0028,5,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,2,"Low mood: Average vibe score is below neutral; Onboarding concerns: Issues with training, mentorship, or feedback",2.0,0.0,True,False,5.67,5.67,False,13.0,False,3.0,False,False,,,False,2023-04-07,False,False,True
EMP0479,5,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,2,Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed,2.5,0.0,True,False,5.04,5.04,False,10.0,False,1.0,True,True,317.0,1.0,False,2023-05-27,True,True,False
EMP0301,5,True,Needs break: Low leave utilization,performance,3,"Needs break: Low leave utilization; Performance concerns: Low rating or improvement needed; Onboarding concerns: Issues with training, mentorship, or feedback",5.0,0.0,False,False,7.504999999999999,9.37,False,1.0,True,2.0,True,True,,,False,2023-08-28,False,False,True
EMP0176,5,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,2,"Low mood: Average vibe score is below neutral; Onboarding concerns: Issues with training, mentorship, or feedback",1.0,0.0,True,False,,,False,8.0,False,4.0,False,False,650.0,2.0,False,2024-04-23,True,False,True
EMP0155,5,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,2,"Low mood: Average vibe score is below neutral; Onboarding concerns: Issues with training, mentorship, or feedback",2.5,0.0,True,False,5.47,5.47,False,,False,,,False,,,False,2023-02-16,True,False,True
